model,terms,fold,log_loss,auc,accuracy,f1
interaction_only_no_x2_x3_mains,x1 + x2_x3,35,0.5595231557288745,0.7842046718576196,0.7166666666666667,0.7017543859649122
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,36,0.5029051261637536,0.828125,0.7833333333333333,0.7936507936507936
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,36,0.4958042283564564,0.8359375,0.8,0.8064516129032258
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,36,0.5259875761747589,0.8136160714285714,0.7333333333333333,0.7333333333333333
interaction_only_no_x2_x3_mains,x1 + x2_x3,36,0.518190736253804,0.8236607142857143,0.7833333333333333,0.7868852459016393
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,37,0.49107962011617,0.8493303571428572,0.75,0.7457627118644068
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,37,0.49076297797898644,0.8537946428571428,0.7833333333333333,0.7796610169491526
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,37,0.5149631338632029,0.8303571428571429,0.7333333333333333,0.7333333333333333
interaction_only_no_x2_x3_mains,x1 + x2_x3,37,0.5139490433385535,0.8303571428571429,0.7666666666666667,0.7666666666666667
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,38,0.5660168551597108,0.7823660714285714,0.6666666666666666,0.5833333333333334
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,38,0.5472423280938564,0.8013392857142857,0.7,0.625
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,38,0.5706492688903383,0.7823660714285714,0.6833333333333333,0.5777777777777777
interaction_only_no_x2_x3_mains,x1 + x2_x3,38,0.5554471708738565,0.7924107142857144,0.6833333333333333,0.5957446808510638
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,39,0.5714777356674177,0.7764182424916575,0.6333333333333333,0.6451612903225806
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,39,0.5837649113547404,0.7575083426028921,0.6333333333333333,0.6451612903225806
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,39,0.530579068332335,0.8008898776418243,0.7666666666666667,0.75
interaction_only_no_x2_x3_mains,x1 + x2_x3,39,0.5406921610775008,0.7919911012235817,0.7333333333333333,0.7241379310344828
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,40,0.5934084486723895,0.7908787541713015,0.7,0.6896551724137931
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,40,0.603697066905179,0.778642936596218,0.7166666666666667,0.7017543859649122
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,40,0.5689548678999059,0.7797552836484982,0.6833333333333333,0.6666666666666666
interaction_only_no_x2_x3_mains,x1 + x2_x3,40,0.5798024039970484,0.7764182424916574,0.6833333333333333,0.6666666666666666
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,41,0.5403394887929044,0.8147321428571428,0.7,0.6896551724137931
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,41,0.5407253807141588,0.8013392857142857,0.7166666666666667,0.6909090909090909
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,41,0.5579349976333957,0.7901785714285714,0.7,0.6666666666666666
interaction_only_no_x2_x3_mains,x1 + x2_x3,41,0.5578381551840708,0.7823660714285714,0.7166666666666667,0.7017543859649122
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,42,0.5886382421063119,0.7767857142857142,0.6166666666666667,0.5818181818181818
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,42,0.5990544806799425,0.7723214285714286,0.65,0.6181818181818182
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,42,0.5567075125267326,0.7790178571428571,0.6666666666666666,0.6296296296296297
interaction_only_no_x2_x3_mains,x1 + x2_x3,42,0.5684208170410071,0.7745535714285715,0.6833333333333333,0.6545454545454545
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,43,0.43114896273937703,0.890625,0.8,0.7857142857142857
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,43,0.4248246929379987,0.8995535714285714,0.8166666666666667,0.8070175438596491
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,43,0.4390927062038012,0.8861607142857142,0.7666666666666667,0.7407407407407407
interaction_only_no_x2_x3_mains,x1 + x2_x3,43,0.4319211108967628,0.8962053571428572,0.7666666666666667,0.7407407407407407
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,44,0.5627059538879066,0.7953281423804226,0.7,0.7096774193548387
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,44,0.5660741641815127,0.7830923248053393,0.7166666666666667,0.7213114754098361
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,44,0.5796488458673833,0.775305895439377,0.7333333333333333,0.7333333333333333
interaction_only_no_x2_x3_mains,x1 + x2_x3,44,0.5834139559568847,0.7741935483870968,0.75,0.7540983606557377
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,45,0.5681948096392113,0.7786429365962181,0.7333333333333333,0.7241379310344828
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,45,0.5568491338782066,0.7908787541713014,0.7666666666666667,0.7586206896551724
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,45,0.5847496198144105,0.7497219132369299,0.7,0.6896551724137931
interaction_only_no_x2_x3_mains,x1 + x2_x3,45,0.5765374160426099,0.7675194660734149,0.7333333333333333,0.7142857142857143
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,46,0.6033619168492168,0.7399553571428571,0.6333333333333333,0.6071428571428571
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,46,0.610400858555316,0.7399553571428571,0.6333333333333333,0.6071428571428571
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,46,0.624083925684696,0.7265625,0.6333333333333333,0.6071428571428571
interaction_only_no_x2_x3_mains,x1 + x2_x3,46,0.6318195799348482,0.7232142857142857,0.6333333333333333,0.6071428571428571
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,47,0.5383338015208154,0.7946428571428571,0.6833333333333333,0.6545454545454545
