fold,log_loss,auc,accuracy,f1,model,n_optional_terms,optional_terms
1,0.6368741794345686,0.7399553571428572,0.5833333333333334,0.647887323943662,main + x1_sq + x2_sq + x1_x3,3,"x1_sq, x2_sq, x1_x3"
2,0.5984229763250448,0.7410714285714286,0.6333333333333333,0.6206896551724138,main + x1_sq + x2_sq + x1_x3,3,"x1_sq, x2_sq, x1_x3"
3,0.6291071989027552,0.7008928571428572,0.6666666666666666,0.6428571428571429,main + x1_sq + x2_sq + x1_x3,3,"x1_sq, x2_sq, x1_x3"
4,0.6803984148874747,0.6507230255839821,0.6,0.6,main + x1_sq + x2_sq + x1_x3,3,"x1_sq, x2_sq, x1_x3"
5,0.6299218106115396,0.6707452725250278,0.6333333333333333,0.6333333333333333,main + x1_sq + x2_sq + x1_x3,3,"x1_sq, x2_sq, x1_x3"
1,0.4731334181912852,0.8493303571428572,0.75,0.7368421052631579,main + x1_sq + x2_sq + x2_x3,3,"x1_sq, x2_sq, x2_x3"
2,0.5201190480883154,0.8225446428571429,0.7666666666666667,0.7666666666666667,main + x1_sq + x2_sq + x2_x3,3,"x1_sq, x2_sq, x2_x3"
3,0.5308398357662619,0.8058035714285714,0.7333333333333333,0.7142857142857143,main + x1_sq + x2_sq + x2_x3,3,"x1_sq, x2_sq, x2_x3"
4,0.5805830597430407,0.7719688542825361,0.6833333333333333,0.6666666666666666,main + x1_sq + x2_sq + x2_x3,3,"x1_sq, x2_sq, x2_x3"
5,0.5511447937412315,0.8053392658509455,0.6833333333333333,0.6779661016949152,main + x1_sq + x2_sq + x2_x3,3,"x1_sq, x2_sq, x2_x3"
1,0.6509595382169515,0.7087053571428572,0.5666666666666667,0.6176470588235294,main + x1_sq + x3_sq + x1_x2,3,"x1_sq, x3_sq, x1_x2"
2,0.6014887675875956,0.7410714285714286,0.65,0.6440677966101694,main + x1_sq + x3_sq + x1_x2,3,"x1_sq, x3_sq, x1_x2"
3,0.6040159826166034,0.7098214285714286,0.7,0.6896551724137931,main + x1_sq + x3_sq + x1_x2,3,"x1_sq, x3_sq, x1_x2"
4,0.6680654410701512,0.6718576195773082,0.6166666666666667,0.6349206349206349,main + x1_sq + x3_sq + x1_x2,3,"x1_sq, x3_sq, x1_x2"
5,0.630330991292729,0.6740823136818688,0.5833333333333334,0.576271186440678,main + x1_sq + x3_sq + x1_x2,3,"x1_sq, x3_sq, x1_x2"
1,0.6282356420562419,0.7611607142857142,0.6,0.6470588235294118,main + x1_sq + x3_sq + x1_x3,3,"x1_sq, x3_sq, x1_x3"
2,0.5969575843990648,0.7455357142857142,0.6666666666666666,0.6666666666666666,main + x1_sq + x3_sq + x1_x3,3,"x1_sq, x3_sq, x1_x3"
